Time,x_end_to_end,y_end_to_end,z_end_to_end
315.0000,16.279065,-3.646140,6.269224
316.0000,17.125698,-6.464979,8.581910
317.0000,17.514050,-9.644567,8.196590
318.0000,18.085086,-9.975566,4.769660
319.0000,14.030302,-8.582315,5.199423
320.0000,12.817468,-7.228335,6.802702
321.0000,12.931143,-6.385291,3.631105
322.0000,11.319773,-7.123358,3.993064
323.0000,13.628307,-7.966827,1.035785
324.0000,11.267420,-8.289586,-1.924661
325.0000,8.756626,-6.558450,-0.764849
326.0000,8.091242,-6.952871,-1.379108
327.0000,11.959904,-11.546300,-3.477429
328.0000,11.318730,-10.289496,-3.536179
329.0000,10.441463,-12.786247,-3.666454
330.0000,13.403470,-13.966193,-4.292385
331.0000,11.970314,-11.627867,-2.661148
332.0000,11.186974,-5.514339,-2.331282
333.0000,11.418737,-6.194012,-6.526144
334.0000,10.394981,-6.823603,-5.650506
335.0000,8.506785,-7.982219,-4.728169
336.0000,4.431634,-9.479218,-5.039828
337.0000,7.598335,-7.401477,0.068638
338.0000,6.922834,-7.752851,1.153786
339.0000,8.422923,-9.308480,2.528519
340.0000,10.886842,-11.031750,0.556369
341.0000,12.064305,-10.822310,2.022375
342.0000,10.264171,-8.862152,0.737981
343.0000,9.803325,-8.225093,0.848424
344.0000,7.722330,-7.140502,0.719766
345.0000,12.862746,-4.805324,2.340557
346.0000,16.681636,-4.578380,1.328662
347.0000,16.166829,-7.076172,-2.177697
348.0000,15.823577,-6.118974,-3.384980
349.0000,14.877498,-2.049260,-1.732453
350.0000,13.779937,-0.209625,-0.845020
351.0000,12.116526,1.208910,1.321852
352.0000,14.450183,4.326404,-0.982890
353.0000,14.291166,3.138471,-3.962737
354.0000,14.044429,3.410855,-5.420135
355.0000,14.494231,-1.775099,-7.054481
356.0000,16.020851,-1.187433,-3.239630
357.0000,16.070565,-0.167109,-3.463099
358.0000,14.347439,-1.238638,-6.570370
359.0000,13.700342,-0.527121,-5.164233
360.0000,16.418945,1.976031,-0.807760
361.0000,18.364208,-0.041206,-0.209764
362.0000,20.307449,-0.045795,-1.344765
363.0000,19.728059,0.382916,1.445239
364.0000,19.009166,-0.885457,0.209089
365.0000,18.333150,-1.035153,2.114575
366.0000,17.897373,-1.697600,1.322109
367.0000,14.064248,-3.781437,1.296262
368.0000,12.490315,-6.601877,0.703277
369.0000,11.668633,-7.532649,3.827653
370.0000,10.852318,-6.667724,6.583946
371.0000,6.401239,-10.583008,7.055951
372.0000,8.940879,-10.092332,5.855095
373.0000,8.865425,-12.585952,8.243729
374.0000,13.154554,-10.324044,10.627344
375.0000,11.415676,-9.474226,11.522299
376.0000,12.229295,-9.718096,8.595428
377.0000,10.788520,-6.425905,7.417479
378.0000,10.766007,-5.354003,7.245903
379.0000,10.520172,-8.219297,3.728127
380.0000,9.525443,-8.699861,4.959100
381.0000,6.696276,-7.563741,2.546637
382.0000,6.219058,-8.458927,5.041749
383.0000,6.122304,-8.119536,8.268032
384.0000,6.112146,-7.384170,7.055340
385.0000,5.566970,-8.825397,10.162439
386.0000,4.399062,-9.061695,8.493646
387.0000,4.927978,-7.176025,5.621196
388.0000,5.071778,-8.875618,6.150860
389.0000,3.577713,-10.577644,3.842166
390.0000,5.441806,-13.757393,2.904545
391.0000,3.923670,-14.111828,1.886245
392.0000,0.952671,-14.684999,5.519252
393.0000,2.956050,-11.286859,4.882103
394.0000,3.509894,-11.210953,3.768974
395.0000,1.130588,-8.185154,2.905015
396.0000,3.325299,-6.832831,4.372522
397.0000,2.631864,-12.357530,7.542500
398.0000,1.890960,-12.269355,9.603781
399.0000,2.009320,-11.996623,8.233861
400.0000,-0.156041,-12.367810,8.370758
401.0000,1.524078,-8.468695,8.772193
402.0000,1.317915,-6.642522,10.136582
403.0000,-0.729920,-10.539615,10.277164
404.0000,-1.719373,-9.248080,8.815734
405.0000,-0.676990,-10.135760,7.211814
406.0000,0.159066,-8.199064,5.165858
407.0000,2.989189,-9.582997,4.531105
408.0000,-0.161062,-13.575326,5.174879
409.0000,-2.036021,-12.260805,6.925739
410.0000,-1.889126,-7.866162,8.211331
411.0000,-0.927194,-7.590341,7.806786
412.0000,0.237200,-8.757250,9.707199
413.0000,3.549744,-7.921926,8.635519
414.0000,5.788294,-9.796116,7.227133
415.0000,6.071559,-9.587514,6.495420
416.0000,4.895708,-6.537449,9.424089
417.0000,5.231195,-8.098454,9.507289
418.0000,6.096849,-6.917251,10.376473
419.0000,4.783805,-3.928138,7.498185
420.0000,6.630908,-4.844198,5.365802
421.0000,5.228232,-4.269892,4.535007
422.0000,4.604455,-2.896992,0.013292
423.0000,8.278664,-4.849693,-0.847904
424.0000,5.917124,-5.475475,4.219691
425.0000,3.551907,-7.582120,1.665769
426.0000,6.643101,-10.829580,-0.052360
427.0000,8.666540,-10.833413,-1.731408
428.0000,11.894655,-8.028151,-3.728561
429.0000,11.084458,-8.805639,-1.721203
430.0000,12.105823,-6.609188,0.691384
431.0000,15.804042,-8.897961,2.216115
432.0000,15.981575,-10.022414,-2.101286
433.0000,15.776851,-5.992378,-0.956661
434.0000,15.196109,-4.184859,-3.845319
435.0000,12.432460,-4.971407,-2.760273
436.0000,7.184959,-3.080839,-1.213054
437.0000,5.662495,-4.427320,-1.492950
438.0000,4.687118,-3.106266,-0.606471
439.0000,7.640234,-0.276298,-0.481524
440.0000,8.369972,0.397264,0.428829
441.0000,10.202908,-0.379771,2.824179
442.0000,11.857479,-1.782858,3.358789
443.0000,9.033519,-0.590167,1.143909
444.0000,11.276454,-1.595143,-1.145935
445.0000,7.723217,-0.105483,-2.257760
446.0000,9.794279,-3.921101,-1.531793
447.0000,8.678231,-2.486338,-3.701999
448.0000,6.892615,-2.491704,-4.001498
449.0000,7.968544,-3.301375,-4.439327
450.0000,7.871355,-3.789921,-5.671929
451.0000,8.622208,-6.743209,-5.821373
452.0000,5.415715,-7.592635,-3.326254
453.0000,8.403403,-8.254342,-4.088589
454.0000,7.736035,-10.447865,-1.299277
455.0000,6.113226,-8.536138,-4.229255
456.0000,4.025721,-4.939815,-4.872444
457.0000,6.712721,-4.639303,-1.562809
458.0000,7.403032,-0.798160,-2.856256
459.0000,6.276560,-1.623877,-3.453592
460.0000,9.012109,-5.268437,-4.446855
461.0000,10.888570,-5.600822,-1.899402
462.0000,14.358055,-3.458148,-2.015778
463.0000,13.522154,-2.304287,-2.820291
464.0000,12.957896,-2.639810,-1.862987
465.0000,11.433796,-3.166591,-2.201695
466.0000,11.295845,-1.987138,-1.707218
467.0000,11.495144,-9.019801,0.183249
468.0000,12.512879,-6.593912,-2.169551
469.0000,12.837106,-7.299864,0.682930
470.0000,9.751823,-7.609086,-0.782223
471.0000,13.743575,-7.550369,-1.862014
472.0000,12.220016,-7.931315,-3.722513
473.0000,12.218516,-7.458974,-4.205557
474.0000,10.934056,-7.764272,-2.940951
475.0000,12.991829,-9.720401,-1.213659
476.0000,14.986847,-9.125559,-2.748815
477.0000,13.370615,-9.034947,-1.233955
478.0000,12.968798,-9.495134,-0.263816
479.0000,15.281470,-7.251340,1.765618
480.0000,12.374620,-8.762582,2.950441
481.0000,11.289327,-10.257707,4.686482
482.0000,13.488829,-9.414951,2.766213
483.0000,11.661626,-9.046334,2.648208
484.0000,10.138168,-9.610734,0.321139
485.0000,9.482834,-13.269421,2.700605
486.0000,7.176074,-13.495120,5.192908
487.0000,5.802969,-17.348823,4.365942
488.0000,7.688713,-12.176538,2.811903
489.0000,7.368599,-11.212418,4.405943
490.0000,8.312476,-9.717876,3.066501
491.0000,10.250965,-11.688354,0.951908
492.0000,13.334687,-15.597780,-0.968498
493.0000,11.564722,-15.246290,2.164425
494.0000,15.430063,-20.601724,0.989794
495.0000,9.990036,-21.904787,-1.170609
496.0000,9.496244,-20.877159,-2.419901
497.0000,10.558929,-22.083417,-3.520257
498.0000,10.832388,-18.091396,-0.725373
499.0000,11.582646,-16.672535,-0.865838
500.0000,10.222918,-17.830936,0.521438
501.0000,10.252660,-19.838393,-2.950098
502.0000,10.763862,-21.295386,-5.554437
503.0000,7.956676,-21.329400,-0.780193
504.0000,12.329694,-22.823532,1.408261
505.0000,12.616919,-21.787519,1.176790
506.0000,9.443926,-20.688592,2.420286
507.0000,10.829466,-19.189921,3.016739
508.0000,11.774144,-18.883330,2.984128
509.0000,14.348556,-18.517793,4.910350
510.0000,16.468788,-20.980564,5.214011
511.0000,16.731229,-22.224752,4.773052
512.0000,21.420540,-23.537287,3.000832
513.0000,20.580520,-21.057294,3.430126
514.0000,21.239371,-20.601273,2.863698
515.0000,17.309098,-21.353050,-0.827640
516.0000,18.456582,-22.180888,-1.669432
517.0000,21.790112,-23.244686,0.691113
518.0000,22.693626,-21.976573,-1.018138
519.0000,23.533711,-21.910397,-1.668012
520.0000,23.785388,-21.543910,-3.174214
521.0000,20.341143,-19.463880,-3.797332
522.0000,16.193532,-20.634486,-3.238414
523.0000,19.365930,-17.241270,-2.968996
524.0000,20.941804,-19.225879,-1.326262
525.0000,20.542931,-19.481701,-1.273554
526.0000,18.163633,-19.952787,-2.331689
527.0000,18.666846,-15.302838,-2.039213
528.0000,13.546405,-13.978094,-3.814148
529.0000,12.528853,-10.983807,-4.909334
530.0000,12.539301,-9.890071,-5.540997
531.0000,18.096614,-9.375233,-6.952031
